,,,YEAR 2010,,,,,,,,,,,,,,,,,YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA,INDICATORS,UOM,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,,SUM,AVG,,,,
,   via subinventory transfer between warehouse locations (inside MFGHUB),package,556,544,584,748,2865,713,863,2363,915,1391,1085,762,385,497,643,278,419,51,748,492,601,221,204,202,399,441,583,493,378,237,413,415,304,342,419,340,649,308,223,251,140,152,234,225,85,278,447,302,402,252,386,,"27,228",533.88,,,,
,   via move order transfer,package,335,266,361,353,230,360,421,503,307,543,722,1465,1232,689,981,902,618,0,1478,1312,999,1029,1097,1178,1422,1173,1176,1171,1305,1608,1683,1380,1415,1311,1627,1638,2012,1942,1600,1738,1468,1355,1395,1419,1434,1357,1392,1021,2035,1239,1984,,"57,681","1,131.00",,,,
,Packages handled to/from DMC (Damaged Materials Collection),package,144,213,204,74,212,358,256,201,317,473,300,266,311,574,476,770,423,0,1037,383,304,250,203,305,383,265,365,344,335,67,304,299,200,198,278,265,255,451,230,249,355,448,118,350,234,309,236,319,266,256,163,,"15,596",305.80,,,,
,   to/from high racks,package,0,0,0,0,0,0,0,0,0,0,0,0,0,92,117,36,75,0,43,41,52,123,55,71,132,68,61,83,53,0,121,65,57,0,78,50,76,71,76,64,60,98,13,49,37,83,53,56,37,67,23,,"2,336",45.80,,,,
,   to/from other locations,package,134,211,199,57,191,334,237,193,297,433,283,259,264,440,328,699,337,0,988,280,237,118,140,229,231,181,122,242,266,64,176,229,139,197,198,215,173,365,143,171,288,343,92,283,187,198,157,257,209,176,130,,"12,320",241.57,,,,
,   back to MFGHUB,package,10,2,5,17,21,24,19,8,20,40,17,7,47,42,31,35,11,0,6,62,15,9,8,5,20,16,182,19,16,3,7,5,4,1,2,0,6,15,11,14,7,7,13,18,10,28,26,6,20,13,10,,940,18.43,,,,
,Packages handled from production (returned parts),package,100,74,48,24,43,189,89,154,169,113,87,127,66,77,126,68,266,0,115,163,76,73,21,124,117,85,78,34,146,71,143,90,74,114,73,76,45,104,28,30,116,47,38,56,74,99,58,108,68,61,87,,"4,512",88.47,,,,
,Packages handled for export purposes (send to sisterplants),package,128,36,28,0,32,67,180,129,61,72,224,128,124,227,303,72,61,0,22,63,131,131,78,75,88,57,101,83,46,83,107,118,87,59,56,46,104,68,44,53,49,29,40,50,69,81,48,49,52,42,61,,"4,142",81.22,,,,
,Number of replenishment orders from warehouse to Supermarket at production building,repl order,421,436,258,127,81,202,220,150,130,171,180,132,218,147,168,230,57,0,170,235,202,152,205,158,163,176,119,98,187,125,111,117,111,115,102,124,105,92,94,71,111,127,52,92,74,139,93,91,76,98,142,,"7,455",146.18,,,,
,   via subinventory transfer,repl order,209,217,127,48,26,84,87,45,49,65,81,45,81,51,46,92,21,0,38,58,78,38,82,28,48,42,19,9,24,3,16,4,5,3,9,5,1,2,2,1,4,1,1,0,1,8,0,1,2,0,6,,"1,913",37.51,,,,
